,precision,recall,f1-score,support
0.0,0.8471438632335756,0.9814667037272817,0.9093718586702777,111529.0
1.0,0.9952693300620686,0.9565549249923012,0.9755281777028028,454620.0
accuracy,0.9614624418660105,0.9614624418660105,0.9614624418660105,0.9614624418660105
macro avg,0.9212065966478221,0.9690108143597915,0.9424500181865403,566149.0
weighted avg,0.9660892287284709,0.9614624418660105,0.9624956578089613,566149.0
