,precision,recall,f1-score,support
0.0,0.5115271350441734,0.9811887491145801,0.6724718013636126,111529.0
1.0,0.9940434786311926,0.7701398970568827,0.8678831836339096,454620.0
accuracy,0.8117156437616246,0.8117156437616246,0.8117156437616246,0.8117156437616246
macro avg,0.752785306837683,0.8756643230857314,0.7701774924987611,566149.0
weighted avg,0.8989897643547095,0.8117156437616246,0.8293879534856201,566149.0
