,precision,recall,f1-score,support
0.0,0.9920654003366194,0.9988612827157062,0.9954517429028424,111529.0
1.0,0.9997201755622929,0.9980401214200871,0.9988794420546058,454620.0
accuracy,0.9982018867824548,0.9982018867824548,0.9982018867824548,0.9982018867824548
macro avg,0.9958927879494561,0.9984507020678967,0.9971655924787242,566149.0
weighted avg,0.998212216657227,0.9982018867824548,0.9982041995677393,566149.0
