,precision,recall,f1-score,support
0.0,0.9958602313978648,0.9986550583256373,0.9972556867274623,111529.0
1.0,0.9996698267911346,0.9989815670230082,0.9993255784017858,454620.0
accuracy,0.9989172461666451,0.9989172461666451,0.9989172461666451,0.9989172461666451
macro avg,0.9977650290944997,0.9988183126743228,0.9982906325646241,566149.0
weighted avg,0.9989193523319092,0.9989172461666451,0.9989178183447238,566149.0
