,precision,recall,f1-score,support
0.0,0.9926064493140923,0.9991123384949206,0.9958487682593872,111529.0
1.0,0.9997818849983146,0.998174299414896,0.9989774454628407,454620.0
accuracy,0.9983590892150299,0.9983590892150299,0.9983590892150299,0.9983590892150299
macro avg,0.9961941671562033,0.9986433189549083,0.997413106861114,566149.0
weighted avg,0.9983683539907078,0.9983590892150299,0.9983611090570111,566149.0
