,model,accuracy,f1_macro,auc
Random Forest,Random Forest,0.9989172461666451,0.9982906325646241,0.9998516438688217
Logistic Regression,Logistic Regression,0.8117156437616246,0.7701774924987611,0.9445495385349169
XGBoost,XGBoost,0.9982018867824548,0.9971655924787242,0.9999615796908113
LightGBM,LightGBM,0.9983590892150299,0.997413106861114,0.9999660805405998
CNN,CNN,0.9614624418660105,0.9424500181865403,0.9950048201859171
